Country,Region,Year,Happiness Rank,Happiness Score,Health,Trust,Family,Economy,Freedom,Generosity
Liberia,Sub-Saharan Africa,2015,116,4.571000000000001,0.34201,0.06232000000000001,0.78968,0.0712,0.28531,0.24361999999999998
India,Southern Asia,2015,117,4.565,0.5152899999999999,0.08492000000000001,0.38174,0.64499,0.39786,0.26475
Sudan,Sub-Saharan Africa,2015,118,4.55,0.36878,0.1466,1.01404,0.52107,0.10081,0.19062
Haiti,Latin America and Caribbean,2015,119,4.518,0.38847,0.17175,0.74302,0.26673,0.24425,0.46187
Congo (Kinshasa),Sub-Saharan Africa,2015,120,4.5169999999999995,0.09806000000000001,0.07625,1.0012,0.0,0.22605,0.24834
Nepal,Southern Asia,2015,121,4.513999999999999,0.5687399999999999,0.059070000000000004,0.86449,0.35996999999999996,0.38282,0.32295999999999997
Ethiopia,Sub-Saharan Africa,2015,122,4.512,0.44055,0.15048,0.60406,0.19072999999999998,0.4345,0.24325
Sierra Leone,Sub-Saharan Africa,2015,123,4.507,0.0,0.08786000000000001,0.9557100000000001,0.33024000000000003,0.4084,0.21488000000000002
Mauritania,Sub-Saharan Africa,2015,124,4.436,0.35874,0.17461,0.86908,0.45407,0.24231999999999998,0.21899999999999997
Kenya,Sub-Saharan Africa,2015,125,4.419,0.41435,0.05839,0.99876,0.36471,0.42215,0.37542
Djibouti,Sub-Saharan Africa,2015,126,4.369,0.36291,0.28105,0.59207,0.44025,0.46074,0.18093
Armenia,Central and Eastern Europe,2015,127,4.35,0.7299,0.039,0.7771100000000001,0.7682100000000001,0.19847,0.07855
Botswana,Sub-Saharan Africa,2015,128,4.332,0.047760000000000004,0.12474,1.10464,0.99355,0.49495,0.10461
Myanmar,Southeastern Asia,2015,129,4.3069999999999995,0.48246000000000006,0.19034,0.70905,0.27108000000000004,0.44017,0.79588
Georgia,Central and Eastern Europe,2015,130,4.297,0.72926,0.38331,0.38561999999999996,0.7419,0.40576999999999996,0.055470000000000005
Malawi,Sub-Saharan Africa,2015,131,4.292,0.22562,0.06977,0.41134,0.016040000000000002,0.43054,0.33128
Sri Lanka,Southern Asia,2015,132,4.271,0.70806,0.09179,1.01905,0.83524,0.5372600000000001,0.40828000000000003
Cameroon,Sub-Saharan Africa,2015,133,4.252,0.23401999999999998,0.05786,0.8876700000000001,0.4225,0.49309,0.20618000000000003
Bulgaria,Central and Eastern Europe,2015,134,4.218,0.76649,0.00872,1.10614,1.01216,0.30587,0.11921
Egypt,Middle East and Northern Africa,2015,135,4.194,0.61712,0.06324,0.747,0.8818,0.17288,0.11291
Yemen,Middle East and Northern Africa,2015,136,4.077,0.40064,0.07854,0.68093,0.5464899999999999,0.35570999999999997,0.09131
Angola,Sub-Saharan Africa,2015,137,4.033,0.16683,0.07122,0.8604,0.75778,0.10384000000000002,0.12344000000000001
Mali,Sub-Saharan Africa,2015,138,3.995,0.20583,0.12352,1.03526,0.26074,0.38856999999999997,0.18798
Congo (Brazzaville),Sub-Saharan Africa,2015,139,3.989,0.31051,0.11685999999999999,0.6629,0.67866,0.41466000000000003,0.12387999999999999
Comoros,Sub-Saharan Africa,2015,140,3.9560000000000004,0.36315,0.19899999999999998,0.79273,0.23906,0.22916999999999998,0.17440999999999998
Uganda,Sub-Saharan Africa,2015,141,3.931,0.33860999999999997,0.07267,1.13299,0.21101999999999999,0.45726999999999995,0.29066
Senegal,Sub-Saharan Africa,2015,142,3.904,0.4354,0.10712999999999999,0.97619,0.36498,0.36772,0.20843000000000003
Gabon,Sub-Saharan Africa,2015,143,3.8960000000000004,0.43372,0.11091,0.90528,1.06024,0.31914000000000003,0.06822
Niger,Sub-Saharan Africa,2015,144,3.845,0.29707,0.15639,0.77265,0.0694,0.47691999999999996,0.19387000000000001
Cambodia,Southeastern Asia,2015,145,3.819,0.61114,0.07247,0.62736,0.46038,0.66246,0.40359
Tanzania,Sub-Saharan Africa,2015,146,3.781,0.38215,0.05747000000000001,1.00268,0.2852,0.32878,0.34376999999999996
Madagascar,Sub-Saharan Africa,2015,147,3.681,0.46721,0.08123999999999999,0.66801,0.20824,0.19184,0.21333000000000002
Central African Republic,Sub-Saharan Africa,2015,148,3.678,0.06699,0.08288999999999999,0.0,0.0785,0.48878999999999995,0.23835
Chad,Sub-Saharan Africa,2015,149,3.667,0.1501,0.05269,0.76062,0.34193,0.23501,0.18386
Guinea,Sub-Saharan Africa,2015,150,3.656,0.24009,0.12139000000000001,0.46475,0.17417,0.37725,0.28657
Ivory Coast,Sub-Saharan Africa,2015,151,3.655,0.15185,0.17922000000000002,0.77115,0.46534,0.46866,0.20165
Burkina Faso,Sub-Saharan Africa,2015,152,3.5869999999999997,0.27125,0.12832000000000002,0.85188,0.25811999999999996,0.39493,0.21746999999999997
Afghanistan,Southern Asia,2015,153,3.575,0.30335,0.09719,0.30285,0.31982,0.23414000000000001,0.3651
Rwanda,Sub-Saharan Africa,2015,154,3.465,0.42863999999999997,0.55191,0.7737,0.22208000000000003,0.59201,0.22628
Benin,Sub-Saharan Africa,2015,155,3.34,0.3191,0.0801,0.35386,0.28665,0.4845,0.1826
Syria,Middle East and Northern Africa,2015,156,3.0060000000000002,0.7219300000000001,0.18905999999999998,0.47489,0.6632,0.15684,0.47179
